county,name,year,median_income
01,Stockholms län,1991,134800.0
01,Stockholms län,1992,138900.0
01,Stockholms län,1993,142700.0
01,Stockholms län,1994,145900.0
01,Stockholms län,1995,150100.0
01,Stockholms län,1996,155800.0
01,Stockholms län,1997,160300.0
01,Stockholms län,1998,167100.0
01,Stockholms län,1999,175600.0
01,Stockholms län,2000,183300.0
01,Stockholms län,2001,191900.0
01,Stockholms län,2002,198000.0
01,Stockholms län,2003,202600.0
01,Stockholms län,2004,206200.0
01,Stockholms län,2005,210000.0
01,Stockholms län,2006,216000.0
01,Stockholms län,2007,224500.0
01,Stockholms län,2008,234400.0
01,Stockholms län,2009,238400.0
01,Stockholms län,2010,240100.0
01,Stockholms län,2011,246300.0
01,Stockholms län,2012,255500.0
01,Stockholms län,2013,262500.0
01,Stockholms län,2014,267900.0
03,Uppsala län,1991,121000.0
03,Uppsala län,1992,125000.0
03,Uppsala län,1993,127700.0
03,Uppsala län,1994,130500.0
03,Uppsala län,1995,134200.0
03,Uppsala län,1996,139400.0
03,Uppsala län,1997,143700.0
03,Uppsala län,1998,150100.0
03,Uppsala län,1999,157400.0
03,Uppsala län,2000,164500.0
03,Uppsala län,2001,172800.0
03,Uppsala län,2002,180100.0
03,Uppsala län,2003,185700.0
03,Uppsala län,2004,189500.0
03,Uppsala län,2005,192500.0
03,Uppsala län,2006,197800.0
03,Uppsala län,2007,204000.0
03,Uppsala län,2008,212500.0
03,Uppsala län,2009,216500.0
03,Uppsala län,2010,217400.0
03,Uppsala län,2011,223900.0
03,Uppsala län,2012,232600.0
03,Uppsala län,2013,239600.0
03,Uppsala län,2014,244300.0
04,Södermanlands län,1991,119500.0
04,Södermanlands län,1992,124400.0
04,Södermanlands län,1993,127700.0
04,Södermanlands län,1994,130800.0
04,Södermanlands län,1995,135200.0
04,Södermanlands län,1996,139500.0
04,Södermanlands län,1997,143700.0
04,Södermanlands län,1998,149900.0
04,Södermanlands län,1999,155400.0
04,Södermanlands län,2000,161000.0
04,Södermanlands län,2001,168000.0
04,Södermanlands län,2002,175300.0
04,Södermanlands län,2003,181500.0
04,Södermanlands län,2004,185800.0
04,Södermanlands län,2005,189500.0
04,Södermanlands län,2006,194600.0
04,Södermanlands län,2007,201300.0
04,Södermanlands län,2008,209600.0
04,Södermanlands län,2009,212300.0
04,Södermanlands län,2010,212600.0
04,Södermanlands län,2011,217700.0
04,Södermanlands län,2012,224200.0
04,Södermanlands län,2013,229400.0
04,Södermanlands län,2014,231500.0
05,Östergötlands län,1991,116400.0
05,Östergötlands län,1992,121100.0
05,Östergötlands län,1993,124400.0
05,Östergötlands län,1994,127500.0
05,Östergötlands län,1995,131400.0
05,Östergötlands län,1996,135800.0
05,Östergötlands län,1997,140000.0
05,Östergötlands län,1998,146300.0
05,Östergötlands län,1999,152200.0
05,Östergötlands län,2000,158600.0
05,Östergötlands län,2001,164100.0
05,Östergötlands län,2002,171500.0
05,Östergötlands län,2003,177200.0
05,Östergötlands län,2004,180700.0
05,Östergötlands län,2005,183700.0
05,Östergötlands län,2006,188600.0
05,Östergötlands län,2007,194700.0
05,Östergötlands län,2008,202700.0
05,Östergötlands län,2009,206000.0
05,Östergötlands län,2010,206600.0
05,Östergötlands län,2011,211700.0
05,Östergötlands län,2012,219200.0
05,Östergötlands län,2013,226200.0
05,Östergötlands län,2014,229800.0
06,Jönköpings län,1991,114300.0
06,Jönköpings län,1992,119300.0
06,Jönköpings län,1993,122800.0
06,Jönköpings län,1994,126500.0
