county,name,year,middle_income
01,Stockholms län,1991,146400.0
01,Stockholms län,1992,148900.0
01,Stockholms län,1993,153100.0
01,Stockholms län,1994,159600.0
01,Stockholms län,1995,163300.0
01,Stockholms län,1996,170300.0
01,Stockholms län,1997,176600.0
01,Stockholms län,1998,185500.0
01,Stockholms län,1999,196200.0
01,Stockholms län,2000,208900.0
01,Stockholms län,2001,220100.0
01,Stockholms län,2002,224900.0
01,Stockholms län,2003,228600.0
01,Stockholms län,2004,233300.0
01,Stockholms län,2005,240100.0
01,Stockholms län,2006,247600.0
01,Stockholms län,2007,258700.0
01,Stockholms län,2008,269000.0
01,Stockholms län,2009,270300.0
01,Stockholms län,2010,275000.0
01,Stockholms län,2011,283800.0
01,Stockholms län,2012,292400.0
01,Stockholms län,2013,300000.0
01,Stockholms län,2014,307800.0
03,Uppsala län,1991,128000.0
03,Uppsala län,1992,130500.0
03,Uppsala län,1993,132900.0
03,Uppsala län,1994,136900.0
03,Uppsala län,1995,140200.0
03,Uppsala län,1996,146200.0
03,Uppsala län,1997,151200.0
03,Uppsala län,1998,158000.0
03,Uppsala län,1999,166500.0
03,Uppsala län,2000,176000.0
03,Uppsala län,2001,185300.0
03,Uppsala län,2002,192600.0
03,Uppsala län,2003,198600.0
03,Uppsala län,2004,202800.0
03,Uppsala län,2005,207300.0
03,Uppsala län,2006,213700.0
03,Uppsala län,2007,220400.0
03,Uppsala län,2008,228600.0
03,Uppsala län,2009,231300.0
03,Uppsala län,2010,234300.0
03,Uppsala län,2011,242900.0
03,Uppsala län,2012,251500.0
03,Uppsala län,2013,258300.0
03,Uppsala län,2014,265100.0
04,Södermanlands län,1991,123900.0
04,Södermanlands län,1992,127400.0
04,Södermanlands län,1993,130600.0
04,Södermanlands län,1994,134700.0
04,Södermanlands län,1995,138900.0
04,Södermanlands län,1996,143900.0
04,Södermanlands län,1997,148300.0
04,Södermanlands län,1998,154000.0
04,Södermanlands län,1999,160600.0
04,Södermanlands län,2000,167400.0
04,Södermanlands län,2001,175200.0
04,Södermanlands län,2002,182400.0
04,Södermanlands län,2003,189100.0
04,Södermanlands län,2004,193700.0
04,Södermanlands län,2005,198700.0
04,Södermanlands län,2006,204500.0
04,Södermanlands län,2007,212400.0
04,Södermanlands län,2008,220100.0
04,Södermanlands län,2009,221200.0
04,Södermanlands län,2010,224600.0
04,Södermanlands län,2011,231300.0
04,Södermanlands län,2012,238100.0
04,Södermanlands län,2013,243800.0
04,Södermanlands län,2014,248100.0
05,Östergötlands län,1991,122000.0
05,Östergötlands län,1992,125000.0
05,Östergötlands län,1993,128400.0
05,Östergötlands län,1994,131900.0
05,Östergötlands län,1995,135800.0
05,Östergötlands län,1996,140500.0
05,Östergötlands län,1997,145300.0
05,Östergötlands län,1998,151800.0
05,Östergötlands län,1999,159300.0
05,Östergötlands län,2000,167000.0
05,Östergötlands län,2001,174100.0
05,Östergötlands län,2002,180800.0
05,Östergötlands län,2003,187000.0
05,Östergötlands län,2004,190500.0
05,Östergötlands län,2005,195300.0
05,Östergötlands län,2006,200400.0
05,Östergötlands län,2007,207700.0
05,Östergötlands län,2008,215400.0
05,Östergötlands län,2009,218100.0
05,Östergötlands län,2010,221400.0
05,Östergötlands län,2011,228900.0
05,Östergötlands län,2012,236100.0
05,Östergötlands län,2013,243100.0
05,Östergötlands län,2014,248500.0
06,Jönköpings län,1991,119400.0
06,Jönköpings län,1992,122900.0
06,Jönköpings län,1993,126300.0
06,Jönköpings län,1994,131200.0
06,Jönköpings län,1995,135700.0
06,Jönköpings län,1996,140700.0
06,Jönköpings län,1997,146400.0
