county,name,year,population
01,Stockholms län,1968,1427236.0
01,Stockholms län,1969,1453754.0
01,Stockholms län,1970,1477990.0
01,Stockholms län,1971,1486648.0
01,Stockholms län,1972,1485655.0
01,Stockholms län,1973,1485587.0
01,Stockholms län,1974,1489144.0
01,Stockholms län,1975,1493546.0
01,Stockholms län,1976,1500868.0
01,Stockholms län,1977,1512179.0
01,Stockholms län,1978,1519114.0
01,Stockholms län,1979,1524266.0
01,Stockholms län,1980,1528200.0
01,Stockholms län,1981,1535539.0
01,Stockholms län,1982,1544454.0
01,Stockholms län,1983,1551165.0
01,Stockholms län,1984,1562490.0
01,Stockholms län,1985,1578299.0
01,Stockholms län,1986,1593333.0
01,Stockholms län,1987,1606157.0
01,Stockholms län,1988,1617038.0
01,Stockholms län,1989,1629631.0
01,Stockholms län,1990,1641669.0
01,Stockholms län,1991,1654511.0
01,Stockholms län,1992,1669840.0
01,Stockholms län,1993,1686230.0
01,Stockholms län,1994,1708502.0
01,Stockholms län,1995,1725756.0
01,Stockholms län,1996,1744330.0
01,Stockholms län,1997,1762924.0
01,Stockholms län,1998,1783440.0
01,Stockholms län,1999,1803377.0
01,Stockholms län,2000,1823210.0
01,Stockholms län,2001,1838882.0
01,Stockholms län,2002,1850467.0
01,Stockholms län,2003,1860872.0
01,Stockholms län,2004,1872900.0
01,Stockholms län,2005,1889945.0
01,Stockholms län,2006,1918104.0
01,Stockholms län,2007,1949516.0
01,Stockholms län,2008,1981263.0
01,Stockholms län,2009,2019182.0
01,Stockholms län,2010,2054343.0
01,Stockholms län,2011,2091473.0
01,Stockholms län,2012,2127006.0
01,Stockholms län,2013,2163042.0
01,Stockholms län,2014,2198044.0
01,Stockholms län,2015,2231439.0
03,Uppsala län,1968,209521.0
03,Uppsala län,1969,213733.0
03,Uppsala län,1970,217740.0
03,Uppsala län,1971,220916.0
03,Uppsala län,1972,223776.0
03,Uppsala län,1973,226502.0
03,Uppsala län,1974,228680.0
03,Uppsala län,1975,230028.0
03,Uppsala län,1976,233115.0
03,Uppsala län,1977,236091.0
03,Uppsala län,1978,239090.0
03,Uppsala län,1979,241722.0
03,Uppsala län,1980,243585.0
03,Uppsala län,1981,245398.0
03,Uppsala län,1982,247068.0
03,Uppsala län,1983,248103.0
03,Uppsala län,1984,249712.0
03,Uppsala län,1985,251852.0
03,Uppsala län,1986,254938.0
03,Uppsala län,1987,257739.0
03,Uppsala län,1988,260476.0
03,Uppsala län,1989,264738.0
03,Uppsala län,1990,268835.0
03,Uppsala län,1991,273918.0
03,Uppsala län,1992,278610.0
03,Uppsala län,1993,283006.0
03,Uppsala län,1994,286642.0
03,Uppsala län,1995,288475.0
03,Uppsala län,1996,289153.0
03,Uppsala län,1997,290473.0
03,Uppsala län,1998,291413.0
03,Uppsala län,1999,292415.0
03,Uppsala län,2000,294196.0
03,Uppsala län,2001,296627.0
03,Uppsala län,2002,298655.0
03,Uppsala län,2003,300495.0
03,Uppsala län,2004,302564.0
03,Uppsala län,2005,304367.0
03,Uppsala län,2006,319925.0
03,Uppsala län,2007,323270.0
03,Uppsala län,2008,327188.0
03,Uppsala län,2009,331898.0
03,Uppsala län,2010,335882.0
03,Uppsala län,2011,338630.0
03,Uppsala län,2012,341977.0
03,Uppsala län,2013,345481.0
03,Uppsala län,2014,348942.0
03,Uppsala län,2015,354164.0
04,Södermanlands län,1968,241932.0
04,Södermanlands län,1969,245343.0
04,Södermanlands län,1970,248412.0
04,Södermanlands län,1971,248696.0
04,Södermanlands län,1972,248551.0
04,Södermanlands län,1973,249184.0
04,Södermanlands län,1974,250727.0
04,Södermanlands län,1975,251913.0
04,Södermanlands län,1976,251996.0
04,Södermanlands län,1977,251933.0
04,Södermanlands län,1978,252067.0
04,Södermanlands län,1979,252026.0
04,Södermanlands län,1980,252536.0
04,Södermanlands län,1981,252191.0
04,Södermanlands län,1982,251610.0
04,Södermanlands län,1983,251000.0
04,Södermanlands län,1984,250515.0
04,Södermanlands län,1985,249701.0
04,Södermanlands län,1986,249479.0
04,Södermanlands län,1987,250073.0
04,Södermanlands län,1988,251423.0
04,Södermanlands län,1989,253363.0
04,Södermanlands län,1990,255636.0
04,Södermanlands län,1991,256818.0
04,Södermanlands län,1992,257858.0
04,Södermanlands län,1993,259199.0
04,Södermanlands län,1994,259793.0
04,Södermanlands län,1995,258700.0
04,Södermanlands län,1996,257383.0
04,Södermanlands län,1997,256870.0
04,Södermanlands län,1998,256269.0
04,Södermanlands län,1999,255890.0
04,Södermanlands län,2000,256033.0
04,Södermanlands län,2001,257220.0
04,Södermanlands län,2002,259006.0
04,Södermanlands län,2003,260380.0
04,Södermanlands län,2004,261070.0
04,Södermanlands län,2005,261895.0
04,Södermanlands län,2006,263099.0
04,Södermanlands län,2007,265190.0
04,Södermanlands län,2008,267524.0
04,Södermanlands län,2009,269053.0
04,Södermanlands län,2010,270738.0
04,Södermanlands län,2011,272563.0
04,Södermanlands län,2012,274723.0
04,Södermanlands län,2013,277569.0
04,Södermanlands län,2014,280666.0
04,Södermanlands län,2015,283712.0
05,Östergötlands län,1968,374300.0
05,Östergötlands län,1969,378437.0
05,Östergötlands län,1970,382675.0
05,Östergötlands län,1971,384025.0
05,Östergötlands län,1972,385103.0
05,Östergötlands län,1973,385808.0
05,Östergötlands län,1974,386012.0
05,Östergötlands län,1975,387088.0
05,Östergötlands län,1976,389431.0
05,Östergötlands län,1977,391337.0
05,Östergötlands län,1978,392057.0
05,Östergötlands län,1979,392390.0
05,Östergötlands län,1980,392789.0
05,Östergötlands län,1981,392694.0
05,Östergötlands län,1982,392214.0
05,Östergötlands län,1983,392310.0
05,Östergötlands län,1984,392887.0
05,Östergötlands län,1985,393585.0
05,Östergötlands län,1986,394753.0
05,Östergötlands län,1987,395580.0
05,Östergötlands län,1988,396919.0
05,Östergötlands län,1989,399506.0
05,Östergötlands län,1990,403011.0
05,Östergötlands län,1991,406100.0
05,Östergötlands län,1992,408268.0
05,Östergötlands län,1993,411212.0
05,Östergötlands län,1994,415603.0
05,Östergötlands län,1995,416443.0
