county,name,is--county
01,Stockholms län,TRUE
03,Uppsala län,TRUE
04,Södermanlands län,TRUE
05,Östergötlands län,TRUE
06,Jönköpings län,TRUE
07,Kronobergs län,TRUE
08,Kalmar län,TRUE
09,Gotlands län,TRUE
10,Blekinge län,TRUE
12,Skåne län,TRUE
13,Hallands län,TRUE
14,Västra Götalands län,TRUE
17,Värmlands län,TRUE
18,Örebro län,TRUE
19,Västmanlands län,TRUE
20,Dalarnas län,TRUE
21,Gävleborgs län,TRUE
22,Västernorrlands län,TRUE
23,Jämtlands län,TRUE
24,Västerbottens län,TRUE
25,Norrbottens län,TRUE
